ctv3_code,icd10_code,phecode
A010.,A01.0,008.5
A011.,A01.1,008
A012.,A01.2,008
A01z.,A01.4,008
A02..,A02.9,008.5
A020.,A02.0,008.5
A021.,A02.1,038.1
A022z,A02.2,008.5
A02y.,A02.8,008.5
A02z.,A02.9,008.5
A03..,A03.9,008.5
A030.,A03.0,008.5
A031.,A03.1,008.5
A032.,A03.2,008.5
A03y.,A03.8,008.5
A03z.,A03.9,008.5
A04..,A05.9,008
A044.,A05.3,008.5
A04z.,A05.9,008
A05..,A06.9,008
A050.,A06.0,008
A051.,A06.1,008.7
A056.,A06.7,008
A05y0,A06.8,008
A05z.,A06.9,008
A060.,A07.0,008.7
A061.,A07.1,008.7
A062.,A07.3,008
A070.,A04.4,008.51
A0731,A04.8,008.5
A074.,A04.8,008.5
A0743,A04.5,008.5
A074y,A04.8,008.5
A074z,A04.8,008.5
A075.,A04.9,008.5
A076.,A08.3,008.6
A0761,A08.3,008.6
A0762,A08.0,008.6
A076z,A08.4,008.6
A07y0,A08.4,008.6
A07z.,A08.5,008.6
A1...,A16.9,010
A10..,A16.9,010
A100.,A16.7,010
A10z.,A16.9,010
A11..,A16.2,010
A110.,A16.2,010
A111.,A16.2,010
A112.,A16.2,010
A114.,A16.2,010
A115.,A16.2,010
A116.,A16.2,010
A11y.,A16.2,010
A11z.,A16.5,010
A12..,A16.5,010
A120.,A16.5,010
A1201,A16.5,010
A1202,A16.5,010
A120z,A16.5,010
A121.,A16.3,010
A1210,A16.3,010
A1211,A16.3,010
A121z,A16.3,010
A122.,A16.4,010
A123.,A16.4,010
A1240,A15.0,010
A1241,A15.1,010
A1243,A15.3,010
A1246,A15.6,010
A1252,A16.7,010
A14..,A18.3,010
A15..,A18.0,010
A16..,A18.1,010
A17..,A18.8,010
A1700,A18.4,010
A1702,A18.4,010
A1703,A18.4,010
A171.,A18.4,010
A1710,A18.4,010
A171z,A18.4,010
A1720,A18.2,010
A172z,A18.2,010
A17z.,A18.8,010
A18..,A19.9,010
A180.,A19.2,010
A1y..,A16.9,010
A1z..,A16.9,010
A20..,A20.9,041
A200.,A20.0,041
A201.,A20.1,686
A22..,A22.9,041
A23..,A23.9,041
A23z.,A23.9,041
A261.,A25.1,711
A270.,A32.9,041
A2701,A32.7,041
A2710,A26.9,041
A2720,A28.0,041
A2721,A28.0,041
A27y.,A28.8,041
A30..,A30.9,031.1
A30z.,A30.9,031.1
A31..,A31.9,031
A31y.,A31.8,031
A31z.,A31.9,031
A32..,A36.9,041
A32z.,A36.9,041
A33z.,A37.9,041
A34..,J02.0,465
A340.,J02.0,465
A3401,J04.0,465.4
A3402,J02.0,465
A3403,J03.0,041.2
A3403,J03.0,465
A340z,J02.0,465
A341.,A38,041.2
A34z.,J02.0,465
A35..,A46,686
A36..,A39.9,041
A362.,A39.4,038.1
A36yz,A39.8,041
A36z.,A39.9,041
A37..,A35,041
A38..,A41.9,994.2
A38..,A41.9,038
A380.,A40.9,038.1
A3800,A40.0,038.1
A381.,A41.2,038.2
A3810,A41.0,038.2
A3811,A41.1,038.2
A382.,A40.3,038.2
A384.,A41.5,038.1
A3840,A41.5,038.1
A3841,A41.3,038.1
A3842,A41.5,038.1
A3843,A41.5,038.1
A38z.,A41.9,994.2
A38z.,A41.9,038
A39..,A42.9,041
A392.,A42.1,041
A39z1,A43.9,041
A39zz,A42.9,041
A3A1.,A48.8,041
A3A3.,A48.8,041
A3Ay.,A48.8,041
A3Ay0,M60.0,712
A3Ay1,A48.3,041
A3Ay2,A04.7,008.52
A3Ayz,A48.8,041
A3B0.,A49.1,041.2
A3B1.,A49.0,041.1
A3B11,A49.0,041.1
A3B2.,B95.3,041.2
A3B4.,A49.8,041
A3B5.,A49.2,041
A3B6.,A49.8,041
A3B60,A49.8,041
A3B6z,A49.8,041
A3B7.,A49.8,041
A3By.,A49.8,041
A3By2,A49.8,041
A3By3,A49.3,041
A3By4,J15.7,480.1
A3By5,A49.8,041
A3By6,A49.8,041
A3Byz,A49.8,041
A3Bz.,A49.9,041
A3z..,A49.8,041
A40..,A80.9,324
A402.,A80.4,324
A403.,A80.3,324
A40z.,A80.9,324
A411.,A81.0,324.1
A413.,A81.2,324
A42y.,A87.8,320
A42z.,A87.9,320
A4z..,A88.8,323
A4zy2,A85.8,323
A4zy3,A85.8,323
A4zz.,A89,323
A5...,B09,079
A50..,B03,079
A50z.,B03,079
A512.,B08.0,079
A52..,B01.9,079.1
A52x.,B01.8,079.1
A52y.,B01.8,079.1
A52z.,B01.9,079.1
A532.,B02.3,369.2
A5323,B02.3,369.2
A532z,B02.3,369.2
A53x.,B02.8,053
A53x1,B02.7,053
A53xz,B02.8,053
A53y.,B02.8,053
A53z.,B02.9,053
A54..,B00.9,054
A540.,B00.0,054
A541.,A60.0,054
A5410,A60.0,054
A5414,A60.1,054
A5415,A60.9,054
A541z,A60.0,054
A542.,B00.2,054
A544.,B00.5,369.2
A544z,B00.5,369.2
A54x.,B00.8,079
A54x.,B00.8,054
A54x0,B00.8,079
