read2_code,icd10_code,phecode
A00..,A00,8.0
A000.,A00.0,8.0
A01..,A01,8.0
A010.,A01.0,8.5
A012.,A01.2,8.0
A01z.,A01.4,8.0
A02..,A02,8.5
A020.,A02.0,8.5
A021.,A02.1,38.1
A02y.,A02.8,8.5
A02z.,A02.9,8.5
A03..,A03,8.5
A030.,A03.0,8.5
A031.,A03.1,8.5
A032.,A03.2,8.5
A033.,A03.3,8.5
A03z.,A03.9,8.5
A04..,A05.9,8.0
A041.,A05.1,8.5
A043.,A04.8,8.5
A044.,A05.3,8.5
A04z.,A05.9,8.0
A05..,A06,8.0
A050.,A06.0,8.0
A052.,A06.2,8.0
A05y0,A06.8,8.0
A061.,A07.1,8.7
A062.,A07.3,8.0
A064.,A07.2,8.7
A070.,A04.4,8.51
A074.,A04.8,8.5
A0741,A04.8,8.5
A0743,A04.5,8.5
A0745,A04.8,8.5
A074z,A08.5,8.6
A075.,A04.9,8.5
A076.,A08.3,8.6
A0761,A08.3,8.6
A0762,A08.0,8.6
A0763,A08.1,8.6
A07y0,A08.4,8.6
A07z.,A08.5,8.6
A08..,A09,8.0
A0y..,A08.5,8.6
A1...,A16.9,10.0
A10..,A16.7,10.0
A100.,A16.7,10.0
A10z.,A16.7,10.0
A11..,A16.2,10.0
A111.,A16.2,10.0
A114.,A16.2,10.0
A115.,A16.2,10.0
A116.,A16.2,10.0
A11y.,A16.2,10.0
A11z.,A16.2,10.0
A12..,A16.5,10.0
A1200,A16.5,10.0
A120z,A16.5,10.0
A1210,A16.3,10.0
A123.,A16.4,10.0
A124.,A15.9,10.0
A124.,A15.9,41.0
A1243,A15.3,10.0
A1247,A15.7,10.0
A125.,A16,10.0
A1252,A16.7,10.0
A16..,A18.1,10.0
A168.,A18.1,10.0
A16z.,A18.1,10.0
A170.,A18.4,10.0
A1701,A18.4,10.0
A171.,A18.4,10.0
A1711,A18.4,10.0
A171z,A18.4,10.0
A172.,A18.2,10.0
A1720,A18.2,10.0
A1722,A18.2,10.0
A173.,A18.5,10.0
A1800,A19.0,10.0
A1y..,A16.9,10.0
A1z..,A16.9,10.0
A23..,A23.9,41.0
A23z.,A23.9,41.0
A261.,A25.1,711.0
A2700,A32.9,41.0
A2712,A26.0,529.1
A2712,A26.0,41.0
A272.,A28.0,41.0
A2720,A28.0,41.0
A3...,A49.9,41.0
A301.,A30.1,31.1
A31..,A31.9,31.0
A310.,A31.0,480.1
A3100,A31.0,480.1
A311.,A31.1,686.0
A31z.,A31.9,31.0
A32..,A36.9,41.0
A33..,A37.9,41.0
A330.,A37.0,41.0
A33z.,A37.9,41.0
A340.,J02.0,465.0
A3401,J04.0,465.4
A3402,J02.0,465.0
A3403,J03.0,41.2
A3403,J03.0,465.0
A340z,J02.0,465.0
A341.,A38,41.2
A35..,A46,686.0
A36..,A39,41.0
